id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,57866.0,1144268776571,1,1216807171642,21174630442,59130.0,57674.0,-1050.376765667963,-1.78282,-19316160359.49585,-1.66006,19748112.0,21000000.0,21000000.0,73738.0,-21.23236,2024-03-14T07:10:36.635Z,67.81,85554.75646,2013-07-06T00:00:00.000Z,,2024-09-01T17:33:44.222Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2459.39,295997004033,2,295997004033,8063168567,2525.17,2447.2,-45.63395491716028,-1.8217,-5403104555.8688965,-1.79267,120305767.32756,120305767.32756,,4878.26,-49.3569,2021-11-10T14:24:19.604Z,0.432979,570482.67202,2015-10-20T00:00:00.000Z,"{'times': 55.79825886521986, 'currency': 'btc', 'percentage': 5579.825886521986}",2024-09-01T17:33:46.889Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999286,118168765734,3,118168765734,26240202727,1.004,0.997862,-0.000716094671387113,-0.07161,-55784561.810302734,-0.04719,118228802316.484,118228802316.484,,1.32,-24.46804,2018-07-24T00:00:00.000Z,0.572521,74.55427,2015-03-02T00:00:00.000Z,,2024-09-01T17:33:41.023Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,516.08,75497609648,4,75497609648,589475848,535.34,514.14,-16.29561279706536,-3.06091,-2162513686.225342,-2.78459,145887575.79,145887575.79,200000000.0,717.48,-27.66425,2024-06-06T14:10:59.816Z,0.0398177,1303318.39838,2017-10-19T00:00:00.000Z,,2024-09-01T17:33:44.109Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,132.13,61674471342,5,77130084052,2018707590,136.29,130.35,-3.687860902567735,-2.71535,-1648600087.1511002,-2.60347,466584956.024988,583511071.799565,,259.96,-49.01522,2021-11-06T21:54:35.825Z,0.500801,26365.51963,2020-05-11T19:35:23.449Z,,2024-09-01T17:33:40.440Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999423,34722413558,6,34722635718,3454128735,1.002,0.996174,-0.00049487151346872,-0.04949,-366514.03116607666,-0.00106,34716727218.3794,34716949342.2838,,1.17,-14.77015,2019-05-08T00:40:28.300Z,0.877647,13.88361,2023-03-11T08:02:13.981Z,,2024-09-01T17:33:41.729Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.552464,31092391482,7,55266805712,535160538,0.568124,0.552703,-0.011497572245169896,-2.03871,-614690462.5837975,-1.93865,56251561168.0,99987294444.0,100000000000.0,3.4,-83.67351,2018-01-07T00:00:00.000Z,0.00268621,20555.42954,2014-05-22T00:00:00.000Z,,2024-09-01T17:33:39.573Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2458.15,24098290105,8,24098290105,31011967,2525.4,2446.31,-46.95485601237897,-1.87437,-450606461.0351639,-1.83555,9798013.4992758,9798013.4992758,,4829.57,-48.99024,2021-11-10T14:40:47.256Z,482.9,410.16185,2020-12-22T04:08:21.854Z,,2024-09-01T17:33:39.669Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.097072,14151020869,9,14151263554,371905806,0.102046,0.097192,-0.003819295138819373,-3.78557,-557603586.3357372,-3.791,145775716383.705,145778216383.705,,0.731578,-86.65089,2021-05-08T05:08:23.458Z,8.69e-05,112276.25578,2015-05-06T00:00:00.000Z,,2024-09-01T17:33:45.004Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.156229,13569956171,10,13570010797,376031346,0.157926,0.155883,-0.000881409191701044,-0.56101,-55812056.29564476,-0.40961,86770798706.4262,86770635455.5297,,0.231673,-32.46914,2018-01-05T00:00:00.000Z,0.00180434,8570.78598,2017-11-12T00:00:00.000Z,"{'times': 81.22599244530174, 'currency': 'usd', 'percentage': 8122.599244530174}",2024-09-01T17:33:40.879Z
